code,Field title
26501,Mean intensity of 3rd-Ventricle (whole brain)
26502,Mean intensity of 4th-Ventricle (whole brain)
26503,Mean intensity of 5th-Ventricle (whole brain)
26548,Mean intensity of Accumbens-area (left hemisphere)
26579,Mean intensity of Accumbens-area (right hemisphere)
26547,Mean intensity of Amygdala (left hemisphere)
26578,Mean intensity of Amygdala (right hemisphere)
26504,Mean intensity of Brain-Stem (whole brain)
26513,Mean intensity of CC-Anterior (whole brain)
26511,Mean intensity of CC-Central (whole brain)
26512,Mean intensity of CC-Mid-Anterior (whole brain)
26510,Mean intensity of CC-Mid-Posterior (whole brain)
26509,Mean intensity of CC-Posterior (whole brain)
26505,Mean intensity of CSF (whole brain)
26543,Mean intensity of Caudate (left hemisphere)
26574,Mean intensity of Caudate (right hemisphere)
26541,Mean intensity of Cerebellum-Cortex (left hemisphere)
26572,Mean intensity of Cerebellum-Cortex (right hemisphere)
26540,Mean intensity of Cerebellum-White-Matter (left hemisphere)
26571,Mean intensity of Cerebellum-White-Matter (right hemisphere)
26546,Mean intensity of Hippocampus (left hemisphere)
26577,Mean intensity of Hippocampus (right hemisphere)
26539,Mean intensity of Inf-Lat-Vent (left hemisphere)
26570,Mean intensity of Inf-Lat-Vent (right hemisphere)
26538,Mean intensity of Lateral-Ventricle (left hemisphere)
26569,Mean intensity of Lateral-Ventricle (right hemisphere)
26508,Mean intensity of Optic-Chiasm (whole brain)
26545,Mean intensity of Pallidum (left hemisphere)
26576,Mean intensity of Pallidum (right hemisphere)
26544,Mean intensity of Putamen (left hemisphere)
26575,Mean intensity of Putamen (right hemisphere)
26542,Mean intensity of Thalamus-Proper (left hemisphere)
26573,Mean intensity of Thalamus-Proper (right hemisphere)
26549,Mean intensity of VentralDC (left hemisphere)
26580,Mean intensity of VentralDC (right hemisphere)
26506,Mean intensity of WM-hypointensities (whole brain)
26551,Mean intensity of choroid-plexus (left hemisphere)
26582,Mean intensity of choroid-plexus (right hemisphere)
26507,Mean intensity of non-WM-hypointensities (whole brain)
26550,Mean intensity of vessel (left hemisphere)
26581,Mean intensity of vessel (right hemisphere)
26568,Number of HolesBeforeFixing (left hemisphere)
26599,Number of HolesBeforeFixing (right hemisphere)
26523,Volume of 3rd-Ventricle (whole brain)
26524,Volume of 4th-Ventricle (whole brain)
26525,Volume of 5th-Ventricle (whole brain)
26564,Volume of Accumbens-area (left hemisphere)
26595,Volume of Accumbens-area (right hemisphere)
26563,Volume of Amygdala (left hemisphere)
26594,Volume of Amygdala (right hemisphere)
26526,Volume of Brain-Stem (whole brain)
26514,Volume of BrainSeg (whole brain)
26515,Volume of BrainSegNotVent (whole brain)
26516,Volume of BrainSegNotVentSurf (whole brain)
26535,Volume of CC-Anterior (whole brain)
26533,Volume of CC-Central (whole brain)
26534,Volume of CC-Mid-Anterior (whole brain)
26532,Volume of CC-Mid-Posterior (whole brain)
26531,Volume of CC-Posterior (whole brain)
26527,Volume of CSF (whole brain)
26559,Volume of Caudate (left hemisphere)
26590,Volume of Caudate (right hemisphere)
26557,Volume of Cerebellum-Cortex (left hemisphere)
26588,Volume of Cerebellum-Cortex (right hemisphere)
26556,Volume of Cerebellum-White-Matter (left hemisphere)
26587,Volume of Cerebellum-White-Matter (right hemisphere)
26553,Volume of CerebralWhiteMatter (left hemisphere)
26584,Volume of CerebralWhiteMatter (right hemisphere)
26552,Volume of Cortex (left hemisphere)
26583,Volume of Cortex (right hemisphere)
26521,Volume of EstimatedTotalIntraCranial (whole brain)
26562,Volume of Hippocampus (left hemisphere)
26593,Volume of Hippocampus (right hemisphere)
26555,Volume of Inf-Lat-Vent (left hemisphere)
26586,Volume of Inf-Lat-Vent (right hemisphere)
26554,Volume of Lateral-Ventricle (left hemisphere)
26585,Volume of Lateral-Ventricle (right hemisphere)
26530,Volume of Optic-Chiasm (whole brain)
26561,Volume of Pallidum (left hemisphere)
26592,Volume of Pallidum (right hemisphere)
26560,Volume of Putamen (left hemisphere)
26591,Volume of Putamen (right hemisphere)
26517,Volume of SubCortGray (whole brain)
26519,Volume of SupraTentorial (whole brain)
26520,Volume of SupraTentorialNotVent (whole brain)
26558,Volume of Thalamus-Proper (left hemisphere)
26589,Volume of Thalamus-Proper (right hemisphere)
26518,Volume of TotalGray (whole brain)
26565,Volume of VentralDC (left hemisphere)
26596,Volume of VentralDC (right hemisphere)
26522,Volume of VentricleChoroid (whole brain)
26528,Volume of WM-hypointensities (whole brain)
26567,Volume of choroid-plexus (left hemisphere)
26598,Volume of choroid-plexus (right hemisphere)
26529,Volume of non-WM-hypointensities (whole brain)
26566,Volume of vessel (left hemisphere)
26597,Volume of vessel (right hemisphere)
26536,Volume-ratio of BrainSegVol-to-eTIV (whole brain)
26537,Volume-ratio of MaskVol-to-eTIV (whole brain)
